address,squadron,prefund,ste,STE Real,tickets
terra1cg6x8xpmckqr4tex4r03f06ds5ax49l4m58nqk,degens,4000,3093.281236,3093.281236,12
terra1q4ds0quxtqa6ewq84qctt0nveprz02dh4wzyxc,degens,2000,3092.581958,3092.581958,12
terra12rx5j86xe8cclmy3a5xnq9tj9cqj4snv4stqnd,degens,2050,3091.802411,3091.802411,12
terra16cjangjanlj37hn0qy27ltz9gxekecll0t9el9,degens,2541.165255,3091.030181,3091.030181,12
terra1rmt59lnh55dysl3vrqw3j8z3l2nm2lj7kc975r,degens,3001,3085.550099,3085.550099,12
terra1a40kk3366l9p82uxeu4eyat6sweg539xwc0tu0,degens,2001,3085.210159,3085.210159,12
terra1jextux2j45m2tnazml8gwl434gwancx32pss4q,degens,3100,3084.673524,3084.673524,12
terra1yufvxf2z04357g4fsm5r650rslskm3runp02y0,degens,10000,3083.37959,3083.37959,12
terra1v43japkw7x6hu4neszm9rahq8kzq72dnft3pae,degens,10000,3080.133288,3080.133288,12
terra1zk3a84j3hj4n3xgljzjs64c8cah5zawgrpsh6z,degens,2500,3080,3080,12
terra15jgnxpr5rrf6tx0ffsz07m30pzv6nnf0ghfjl3,degens,3000,3078.286506,3078.286506,12
terra16w8xpkuxu4evherpvc8yxjvfllhsvvj3vgp093,degens,3000,3078.278359,3078.278359,12
terra1ry2nxv8njru3jh5shkn637rhgn04dkpnejhkml,degens,2010,3078.039918,3078.039918,12
terra1p9y0keju6n5nclplnd40spplyrk4mw35j4p8ha,degens,4200,3072.928062,3072.928062,12
terra19cwxh2pcc7wpqlj5sxh73meynf6yeqwa9p4vqe,degens,2500,3072.606994,3072.606994,12
terra1cvytkpzlkeuw6prs7zh3chx230vcd0k64e4wdk,degens,5000,3071.837396,3071.837396,12
terra1fl8nl3dwafga336jl95s2tcafukpm48fy62jhu,degens,4000,3070.871773,3070.871773,12
terra1s6eg0qxwlca7at2t6xx0rj7vrpqwlylddd0nq8,degens,4005,3070.277891,3070.277891,12
terra130xtcvfz633f3dtmkth3d4fsnrwaw4a8xz6vn5,degens,2000,3067.220253,3067.220253,12
terra10jpej36snhc8gjykqmz48z3cgnpd2ly4xrmgru,degens,2001,3066.611769,3066.611769,12
terra1prga3yuqnk4plcuddvcydysqwl57he3du5v92r,degens,3000,3065.075843,3065.075843,12
terra13saedr3su3f22qyyvacx2ut2upg86xdd2hqxzu,degens,2374.180379,3062.882869,3062.882869,12
terra1y26l06p0url6h80582gckhjqkyykqgftmnfrr2,degens,2000,3062.691454,3062.691454,12
terra1zfam3f470pw7h5tv6c9kxkp40njgcehg43kct4,degens,2000,3062.665051,3062.665051,12
terra1pmkstt8srklxgkftf9s05u647g9n0s8nu0298w,degens,2000,3059.855386,3059.855386,12
terra1zffalkht6r8u5prw28klxw5w3wee7q4lawnf58,degens,2250,3059.325455,3059.325455,12
terra1gn3kh6cjsj5cf0zu02k04zfl4t5vssf5spzrqg,degens,2000,3058.895308,3058.895308,12
terra1unlp42rd836ytwvaceqrc0dt8cz3yvy7rge3r6,degens,2003,3058.469204,3058.469204,12
terra1elzwuxhw0qxea257gnkhend27qvsmsf450mp6f,degens,2000,3057.495481,3057.495481,12
terra1a2afzfnv9tcc00wtq7jv38nwaxgx0uzxng26ft,degens,2000,3056.701529,3056.701529,12
