staker,lp,stt,ste,faction
terra1uwh3l...lyns,70.839836,0,88.549795,degens
terra1uwjf5...6uz2,1649.8,1,2063.25,degens
terra1uw39v...nk23,578.45849,10.240215,733.3133275,degens
terra1uwfs4...a2lm,5.797589,51.710402,58.95738825,degens
terra1udjds...788h,1.063958,3.009717,4.3396645,degens
terra1udfyc...9fp2,2.080794,0.970403,3.5713955000000004,degens
terra1udxpj...0avq,31.395258,0,39.2440725,degens
terra1ud9qw...ylu6,2.096061,1,3.6200762500000003,degens
terra1udyxp...5adt,2.159559,26.019056,28.718504749999997,degens
terra1uva0l...m9nw,1.854629,0.160259,2.47854525,degens
terra1uva8p...h8rc,55.12305,0,68.9038125,degens
terra1uvkuv...x395,2.111733,38.473928,41.11359425,degens
terra1uv9d4...wl7y,34.125754,0,42.6571925,degens
terra1ut4rw...ewmf,6.584565,0,8.230706249999999,degens
terra1utvuj...k88a,18.955339,10.196131,33.89030475,degens
terra1u2ajl...a8k9,0.020664,0.001,0.02683,degens
terra1u269t...cfyv,2.033044,1.6,4.141305,degens
terra1u2xf8...2urd,0.399266,0.163222,0.6623045,degens
terra1u2p3f...mkhj,2.2553,3000,3002.819125,degens
terra1ufkc4...jgjc,246.640256,153.980991,462.28131099999996,degens
terra1uf29g...akuv,1,1,2.25,degens
terra1ufp63...mcyv,0.020661,1.052149,1.07797525,degens
terra1ugeag...v9rw,186.558788,43.664101,276.862586,degens
terra1ugc4j...tlu7,0.097564,0.194698,0.316653,degens
terra1ug46d...clhm,0.042858,0.040018,0.0935905,degens
terra1ug9ly...qv29,71.464935,20.385939,109.71710775,degens
terra1u8ad6...ftpa,0.109305,0.01878,0.15541125,degens
terra1u8cqh...hc8m,0.416426,0,0.5205325000000001,degens
terra1u8nrh...pzjt,0.238192,0.351259,0.648999,degens
terra1u8sdj...j9cy,34.42953,126.042213,169.0791255,degens
terra1u8rd6...3gw0,6356.26166,41.866979,7987.1940540000005,degens
terra1uxamz...7vfe,21.303867,0.11,26.73983375,degens
terra1uxg7v...m3xz,2.028674,0.1,2.6358425000000003,degens
terra1uxpz2...s7pn,51.338771,11.29489,75.46835374999999,degens
